,pruid,prname,prnameFR,date,numconf,numprob,numdeaths,numtotal,numtested,numrecover,percentrecover,ratetested,numtoday,percentoday,ratetotal,ratedeaths,deathstoday,percentdeath,testedtoday,recoveredtoday,percentactive
110,12,Nova Scotia,Nouvelle-Écosse,14-03-2020,0,0,0.0,0,481.0,,,495.0,0.0,0.0,0.0,0.0,0.0,,299.0,,
111,11,Prince Edward Island,Île-du-Prince-Édouard,14-03-2020,0,0,0.0,0,6.0,,,38.0,0.0,0.0,0.0,0.0,0.0,,0.0,,
112,60,Yukon,Yukon,14-03-2020,0,0,0.0,0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,
113,61,Northwest Territories,Territoires du Nord-Ouest,14-03-2020,0,0,0.0,0,76.0,,,1695.0,0.0,0.0,0.0,0.0,0.0,,42.0,,
114,62,Nunavut,Nunavut,14-03-2020,0,0,0.0,0,6.0,,,155.0,0.0,0.0,0.0,0.0,0.0,,5.0,,
115,99,Repatriated travellers,Voyageurs rapatriés,14-03-2020,2,0,0.0,2,29.0,,,,0.0,0.0,,,0.0,0.0,0.0,,100.0
116,1,Canada,Canada,14-03-2020,193,6,2.0,199,22409.0,,,596.0,20.0,11.17,0.53,0.005,0.0,1.01,7224.0,,98.99
117,59,British Columbia,Colombie-Britannique,15-03-2020,73,0,1.0,73,7033.0,,,1387.0,9.0,14.06,1.44,0.02,0.0,1.37,0.0,,98.63
118,48,Alberta,Alberta,15-03-2020,39,0,0.0,39,5247.0,,,1200.0,10.0,34.48,0.89,0.0,0.0,0.0,0.0,,100.0
119,47,Saskatchewan,Saskatchewan,15-03-2020,0,2,0.0,2,349.0,,,297.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,,100.0
120,46,Manitoba,Manitoba,15-03-2020,4,0,0.0,4,837.0,,,611.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,,100.0
121,35,Ontario,Ontario,15-03-2020,103,0,1.0,103,8461.0,,,581.0,24.0,30.38,0.71,0.006999999999999999,0.0,0.97,1815.0,,99.03
122,24,Quebec,Québec,15-03-2020,24,0,0.0,24,2337.0,,,275.0,7.0,41.18,0.28,0.0,0.0,0.0,753.0,,100.0
123,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,15-03-2020,0,1,0.0,1,62.0,,,119.0,1.0,0.0,0.19,0.0,0.0,0.0,0.0,,100.0
124,13,New Brunswick,Nouveau-Brunswick,15-03-2020,1,1,0.0,2,82.0,,,106.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,,100.0
125,12,Nova Scotia,Nouvelle-Écosse,15-03-2020,0,0,0.0,0,481.0,,,495.0,0.0,0.0,0.0,0.0,0.0,,0.0,,
126,11,Prince Edward Island,Île-du-Prince-Édouard,15-03-2020,1,0,0.0,1,6.0,,,38.0,1.0,0.0,0.64,0.0,0.0,0.0,0.0,,100.0
127,60,Yukon,Yukon,15-03-2020,0,0,0.0,0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,
128,61,Northwest Territories,Territoires du Nord-Ouest,15-03-2020,0,0,0.0,0,76.0,,,1695.0,0.0,0.0,0.0,0.0,0.0,,0.0,,
129,62,Nunavut,Nunavut,15-03-2020,0,0,0.0,0,6.0,,,155.0,0.0,0.0,0.0,0.0,0.0,,0.0,,
130,99,Repatriated travellers,Voyageurs rapatriés,15-03-2020,4,0,0.0,4,29.0,,,,2.0,100.0,,,0.0,0.0,0.0,,100.0
131,1,Canada,Canada,15-03-2020,249,4,2.0,253,24977.0,,,664.0,54.0,27.14,0.67,0.005,0.0,0.79,2568.0,,99.21
132,59,British Columbia,Colombie-Britannique,16-03-2020,73,0,4.0,73,9926.0,,,1957.0,0.0,0.0,1.44,0.079,3.0,5.48,2893.0,,94.52
133,48,Alberta,Alberta,16-03-2020,56,0,0.0,56,10238.0,,,2342.0,17.0,43.59,1.28,0.0,0.0,0.0,4991.0,,100.0
134,47,Saskatchewan,Saskatchewan,16-03-2020,1,5,0.0,6,881.0,,,750.0,4.0,200.0,0.51,0.0,0.0,0.0,532.0,,100.0
135,46,Manitoba,Manitoba,16-03-2020,4,3,0.0,7,1848.0,,,1349.0,3.0,75.0,0.51,0.0,0.0,0.0,1011.0,,100.0
136,35,Ontario,Ontario,16-03-2020,145,0,1.0,145,10178.0,,,699.0,42.0,40.78,1.0,0.006999999999999999,0.0,0.69,1717.0,,99.31
137,24,Quebec,Québec,16-03-2020,39,0,0.0,39,3129.0,,,369.0,15.0,62.5,0.46,0.0,0.0,0.0,792.0,,100.0
138,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,16-03-2020,0,1,0.0,1,161.0,,,309.0,0.0,0.0,0.19,0.0,0.0,0.0,99.0,,100.0
139,13,New Brunswick,Nouveau-Brunswick,16-03-2020,1,5,0.0,6,143.0,,,184.0,4.0,200.0,0.77,0.0,0.0,0.0,61.0,,100.0
140,12,Nova Scotia,Nouvelle-Écosse,16-03-2020,0,3,0.0,3,1075.0,,,1107.0,3.0,0.0,0.31,0.0,0.0,0.0,594.0,,100.0
141,11,Prince Edward Island,Île-du-Prince-Édouard,16-03-2020,1,0,0.0,1,6.0,,,38.0,0.0,0.0,0.64,0.0,0.0,0.0,0.0,,100.0
142,60,Yukon,Yukon,16-03-2020,0,0,0.0,0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,
143,61,Northwest Territories,Territoires du Nord-Ouest,16-03-2020,0,0,0.0,0,138.0,,,3079.0,0.0,0.0,0.0,0.0,0.0,,62.0,,
144,62,Nunavut,Nunavut,16-03-2020,0,0,0.0,0,7.0,,,181.0,0.0,0.0,0.0,0.0,0.0,,1.0,,
145,99,Repatriated travellers,Voyageurs rapatriés,16-03-2020,4,0,0.0,4,29.0,,,,0.0,0.0,,,0.0,0.0,0.0,,100.0
146,1,Canada,Canada,16-03-2020,324,17,5.0,341,37730.0,,,1004.0,88.0,34.78,0.91,0.013000000000000001,3.0,1.47,12753.0,,98.53
147,59,British Columbia,Colombie-Britannique,17-03-2020,103,0,7.0,103,11612.0,,,2290.0,30.0,41.1,2.03,0.138,3.0,6.8,1686.0,,93.2
148,48,Alberta,Alberta,17-03-2020,74,0,0.0,74,11487.0,,,2628.0,18.0,32.14,1.69,0.0,0.0,0.0,1249.0,,100.0
149,47,Saskatchewan,Saskatchewan,17-03-2020,2,5,0.0,7,1066.0,,,908.0,1.0,16.67,0.6,0.0,0.0,0.0,185.0,,100.0
150,46,Manitoba,Manitoba,17-03-2020,7,0,0.0,7,2216.0,,,1618.0,0.0,0.0,0.51,0.0,0.0,0.0,368.0,,100.0
151,35,Ontario,Ontario,17-03-2020,177,0,1.0,177,11167.0,,,767.0,32.0,22.07,1.22,0.006999999999999999,0.0,0.56,989.0,,99.44
152,24,Quebec,Québec,17-03-2020,50,0,0.0,50,4870.0,,,574.0,11.0,28.21,0.59,0.0,0.0,0.0,1741.0,,100.0
